id;cp;pop;address;city;automate_24_24;timetable;fuel;shortage;update;price_gazole;price_sp95;price_sp98;price_gplc;price_e10;price_e85;services;brand;name;geo_point
92120002;92120;R;91 Avenue Aristide Briand;MONTROUGE;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";Gazole,E85,GPLc,E10,SP98;SP95;2024-01-13T06:00:00+00:00;0.001899;;0.002029;0.00121;0.001899;0.001049;Toilettes publiques,Boutique alimentaire,Boutique non alimentaire,Station de gonflage,Carburant additivé,Lavage automatique,Lavage manuel,Services réparation,entretien,Vente de gaz domestique (Butane, Propane);Shell;SARL Hiboo France AVIA;48.81468, 2.32592
92220009;92220;R;12 Avenue du Général de Gaulle;BAGNEUX;Oui;"{""Dimanche"": {""fermeture"": ""20.00"", ""ouvert"": 1, ""ouverture"": ""08.00""}, ""Jeudi"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Lundi"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Mardi"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Mercredi"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Samedi"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""07.00""}, ""Vendredi"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}}";Gazole,E10,SP98;;2024-01-26T12:05:00+00:00;0.001909;;0.002079;;0.001929;;Boutique alimentaire,Boutique non alimentaire,Station de gonflage,Carburant additivé,Lavage automatique,Vente de gaz domestique (Butane, Propane);BP;BP BAGNEUX CHATILLON;48.79741, 2.29816
93240005;93240;R;201 Avenue de Stalingrad;STAINS;;;E10,SP98;E85,SP95,GPLc;2024-01-25T04:54:15+00:00;0.0020150000000000003;;0.002089;;0.002025;;Toilettes publiques,Boutique alimentaire,Station de gonflage,Carburant additivé,Piste poids lourds,Services réparation,entretien;Indépendant sans enseigne;SARL JORDAN STATION BP;48.95957, 2.39866
93700003;93700;R;80, rue Saint Stenay;DRANCY;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";Gazole,SP95,E85,E10,SP98;GPLc;2024-01-26T21:36:00+00:00;0.00184;0.001881;0.001935;;0.0018260000000000001;0.000966;DAB (Distributeur automatique de billets);Carrefour;CARREFOUR DRANCY;48.9178080257, 2.41833598768
94000006;94000;R;69 Avenue Pierre Brossolette;CRÉTEIL;;;Gazole,SP95,SP98;;2023-12-27T06:11:06+00:00;0.001984;0.002029;0.0020870000000000003;;;;Boutique non alimentaire,Station de gonflage,Lavage automatique,Services réparation,entretien,Vente de gaz domestique (Butane, Propane);Esso;FMB94 SARL;48.79014, 2.46408
94550001;94550;R;264 Avenue de Stalingrad;CHEVILLY-LARUE;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";Gazole,E85,E10,SP98;SP95;2024-01-26T10:07:00+00:00;0.0018080000000000001;;0.001921;;0.001841;0.0010789999999999999;;Esso Express;ESSO CHEVILLY LA RUE;48.76708, 2.36793
95470004;95470;A;Autoroute A1 - Aire de vémars Est;VEMARS;Oui;"{""Dimanche"": {""fermeture"": ""00.00"", ""ouvert"": 1, ""ouverture"": ""00.00""}, ""Jeudi"": {""fermeture"": ""00.00"", ""ouvert"": 1, ""ouverture"": ""00.00""}, ""Lundi"": {""fermeture"": ""00.00"", ""ouvert"": 1, ""ouverture"": ""00.00""}, ""Mardi"": {""fermeture"": ""00.00"", ""ouvert"": 1, ""ouverture"": ""00.00""}, ""Mercredi"": {""fermeture"": ""00.00"", ""ouvert"": 1, ""ouverture"": ""00.00""}, ""Samedi"": {""fermeture"": ""00.00"", ""ouvert"": 1, ""ouverture"": ""00.00""}, ""Vendredi"": {""fermeture"": ""00.00"", ""ouvert"": 1, ""ouverture"": ""00.00""}}";GPLc,E10;E85,SP95;2024-01-26T11:48:05+00:00;0.001861;;0.002115;0.001092;0.0020169999999999997;;Toilettes publiques,Douches,Boutique alimentaire,Restauration à emporter,Restauration sur place,Bar,Station de gonflage,Carburant additivé,Aire de camping-cars,Piste poids lourds,Espace bébé,Vente d'additifs carburants,Wifi,DAB (Distributeur automatique de billets);Shell;STATION SHELL;49.0717601635, 2.55304956517
77120005;77120;R;5 Rue Abel Prouharam;COULOMMIERS;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";SP98;E85,GPLc,E85,GPLc,SP95;2024-01-24T10:45:46+00:00;0.001759;;0.001859;;0.001779;;Toilettes publiques,Boutique alimentaire,Boutique non alimentaire,Vente de fioul domestique,Vente de pétrole lampant,Piste poids lourds,Lavage automatique,Lavage manuel,Vente de gaz domestique (Butane, Propane),DAB (Distributeur automatique de billets);Intermarché;A L'INTERMARCHE DE  COULOMMIERS;48.81449541, 3.08085499107
77350004;77350;R;Avenue Jean Monnet;BOISSISE-LA-BERTRAND;Non;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";E10,SP98;SP95,GPLc;2024-01-25T07:45:16+00:00;0.001769;;0.001869;;0.001779;0.0008489999999999999;Toilettes publiques,Relais colis,Station de gonflage,Vente de gaz domestique (Butane, Propane),Bornes électriques,Automate CB 24,24,DAB (Distributeur automatique de billets);Intermarché;Intermarché;48.5397990412, 2.61159622791
77680001;77680;R;BLD DE LA MALIBRAN;ROISSY-EN-BRIE;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";Gazole,E10,SP98;SP95;2024-01-26T10:06:00+00:00;0.001778;;0.0018640000000000002;;0.001784;;;Esso Express;ESSO MALIBRAN;48.79567, 2.64309
78290001;78290;R;22 Avenue du Général de Gaulle;CROISSY-SUR-SEINE;;;Gazole,E85,E10,SP98;GPLc;2024-01-26T09:53:57+00:00;0.0018720000000000002;0.00189;0.001898;;0.00189;0.000959;Vente de gaz domestique (Butane, Propane);Carrefour Market;Carrefour Market;48.88112, 2.13987
78700002;78700;R;10 Place de la Liberté et du 8 Mai 1945;CONFLANS-SAINTE-HONORINE;;;Gazole,SP95,SP98;GPLc,E10,E85;2024-01-26T11:29:19+00:00;0.001759;0.001799;0.00184;;;;DAB (Distributeur automatique de billets);Carrefour Market;Carrefour Market;49.00561, 2.11691
